Time resolution is 1 ps
Time: 0 | x_in = xxxxxxxxxxxxxxxx | y_out = xxxxxxxxxxxxxxxx
Time: 5204142000 | x_in = 0001111000100100 | y_out = 1101100000011011
Time: 5226818000 | x_in = 0001110000011110 | y_out = 1101101100011100
Time: 5249494000 | x_in = 0001100111101011 | y_out = 1101111001001101
Time: 5272170000 | x_in = 0001011110010001 | y_out = 1110000110101010
Time: 5294846000 | x_in = 0001010100010010 | y_out = 1110010100101101
Time: 5317522000 | x_in = 0001001001110010 | y_out = 1110100011010100
Time: 5340198000 | x_in = 0000111110110101 | y_out = 1110110010011000
Time: 5362874000 | x_in = 0000110011100000 | y_out = 1111000001110110
Time: 5385550000 | x_in = 0000100111110111 | y_out = 1111010001100111
Time: 5408226000 | x_in = 0000011011111110 | y_out = 1111100001100111
Time: 5430902000 | x_in = 0000001111111011 | y_out = 1111110001110010
Time: 5453578000 | x_in = 0000000011110001 | y_out = 0000000010000000
Time: 5476254000 | x_in = 1111110111100111 | y_out = 0000010010001111
Time: 5498930000 | x_in = 1111101011011111 | y_out = 0000100010010111
Time: 5521606000 | x_in = 1111011111100000 | y_out = 0000110010010100
Time: 5544282000 | x_in = 1111010011101100 | y_out = 0001000010000001
Time: 5566958000 | x_in = 1111001000001010 | y_out = 0001010001011001
Time: 5589634000 | x_in = 1110111100111110 | y_out = 0001100000010110
Time: 5612310000 | x_in = 1110110010001100 | y_out = 0001101110110100
Time: 5634986000 | x_in = 1110100111111000 | y_out = 0001111100101111
Time: 5657662000 | x_in = 1110011110000110 | y_out = 0010001010000001
Time: 5680338000 | x_in = 1110010100111010 | y_out = 0010010110100110
Time: 5703014000 | x_in = 1110001100011000 | y_out = 0010100010011011
Time: 5725690000 | x_in = 1110000100100011 | y_out = 0010101101011011
Time: 5748366000 | x_in = 1101111101011110 | y_out = 0010110111100100
Time: 5771042000 | x_in = 1101110111001011 | y_out = 0011000000110000
Time: 5793718000 | x_in = 1101110001101110 | y_out = 0011001000111111
Time: 5816394000 | x_in = 1101101101001000 | y_out = 0011010000001100
Time: 5839070000 | x_in = 1101101001011011 | y_out = 0011010110010110
Time: 5861746000 | x_in = 1101100110101001 | y_out = 0011011011011011
Time: 5884422000 | x_in = 1101100100110010 | y_out = 0011011111011001
Time: 5907098000 | x_in = 1101100011110111 | y_out = 0011100010001110
Time: 5929774000 | x_in = 1101100011111001 | y_out = 0011100011111011
Time: 5952450000 | x_in = 1101100100111000 | y_out = 0011100100011101
Time: 5975126000 | x_in = 1101100110110011 | y_out = 0011100011110110
Time: 5997802000 | x_in = 1101101001101010 | y_out = 0011100010000101
Time: 6020478000 | x_in = 1101101101011010 | y_out = 0011011111001011
Time: 6043154000 | x_in = 1101110010000100 | y_out = 0011011011001001
Time: 6065830000 | x_in = 1101110111100101 | y_out = 0011010110000000
Time: 6088506000 | x_in = 1101111101111100 | y_out = 0011001111110010
Time: 6111182000 | x_in = 1110000101000100 | y_out = 0011001000100000
Time: 6133858000 | x_in = 1110001100111101 | y_out = 0011000000001110
Time: 6156534000 | x_in = 1110010101100010 | y_out = 0010110110111110
Time: 6179210000 | x_in = 1110011110110000 | y_out = 0010101100110010
Time: 6201886000 | x_in = 1110101000100100 | y_out = 0010100001101111
Time: 6224562000 | x_in = 1110110010111011 | y_out = 0010010101110111
Time: 6247238000 | x_in = 1110111101101111 | y_out = 0010001001001111
Time: 6269914000 | x_in = 1111001000111101 | y_out = 0001111011111010
Time: 6292590000 | x_in = 1111010100100000 | y_out = 0001101101111101
Time: 6315266000 | x_in = 1111100000010100 | y_out = 0001011111011101
Time: 6337942000 | x_in = 1111101100010101 | y_out = 0001010000011110
